Année;Région;Région;Région;Type de voie;Type de voie NL;Type de voie EN;Kilomètres de voie;Nombre d'appareils de voie
2010;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;293;550
2010;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;213;846
2010;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1394;4096
2009;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1345;4133
2009;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;3007;1826
2008;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;289;543
2008;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;237;870
2008;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3071;2131
2007;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1560;4331
2006;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;989;3057
2023;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;583;1337
2022;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;114;410
2021;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;128;422
2021;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1080;2601
2021;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2945;1510
2020;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1132;2672
2020;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2949;1510
2019;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;319;462
2019;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2949;1515
2018;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;320;471
2018;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;138;471
2018;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2948;1537
2018;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;639;1439
2017;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;311;451
2017;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3225;2103
2017;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2979;1568
2015;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;306;460
2015;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3225;2148
2015;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1281;3081
2015;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;847;1634
2014;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3228;2146
2014;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1285;3201
2013;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;167;551
2013;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2992;1782
2013;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;817;1800
2012;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3176;2176
2012;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2995;1779
2011;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;292;538
2010;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;3143;2146
2009;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;290;548
2009;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;216;848
2008;Flandre;Vlaanderen;Flanders;Voie secondaire;Bijspoor;Secondary tracks;1564;4254
2008;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2968;1836
2007;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie secondaire;Bijspoor;Secondary tracks;237;899
2007;Wallonie;Wallonië;Wallonia;Voie secondaire;Bijspoor;Secondary tracks;989;2931
2006;Bruxelles-Capitale;Brussel-Hoofdstad;Brussels;Voie principale;Hoofdspoor;Main tracks;264;526
2006;Flandre;Vlaanderen;Flanders;Voie principale;Hoofdspoor;Main tracks;2998;2073
2006;Wallonie;Wallonië;Wallonia;Voie principale;Hoofdspoor;Main tracks;2993;1847
